xy,z,val
-42.9761 -81.7173,38.8975,-4.7755e-06
-42.9761 -81.7173,38.5981,3.26807e-05
-42.9761 -81.7173,38.2988,4.06398e-06
-42.9761 -81.7173,37.9994,-2.48035e-06
-42.9761 -81.7173,37.7,9.53185e-06
-42.9761 -81.7173,37.4006,1.49914e-05
-42.9761 -81.7173,37.1012,-1.5885e-06
-42.9761 -81.7173,36.8019,-3.38144e-06
-42.9761 -81.7173,36.5025,8.20848e-06
-42.9761 -81.7173,36.2031,1.15137e-06
-42.9761 -81.7173,35.9037,-3.9815e-06
-42.9761 -81.7173,35.6043,2.74692e-07
-42.9761 -81.7173,35.3049,9.05848e-06
-42.9761 -81.7173,35.0056,6.48504e-06
-42.9761 -81.7173,34.7062,1.29025e-05
-42.9761 -81.7173,34.4068,-2.96678e-06
