time,z
25097338.5906,2159.86
25097338.6005,2203.6
25097338.6113,2256.96
25097338.6216,2294.96
25097338.6313,2330.92
25097338.6413,2364.72
25097338.6517,2400.05
25097338.6617,2440.75
25097338.6725,2484.57
25097338.6837,2476.42
25097338.6933,2483.15
25097338.7027,2492.17
25097338.7137,2471.59
25097338.7327,2343.19
25097338.7458,2271.53
25097338.7564,2245.81
25097338.7678,2220.08
25097338.782,2172.76
25097338.7958,2135.61
25097338.8208,2056.49
25097338.8408,2013.22
25097338.8616,1982.83
25097338.8917,1882.17
25097338.9521,1547.45
25097338.9989,1554.43
25097339.0315,1587.49
25097339.06,1616.11
25097339.0825,1665.58
25097339.1053,1684.94
25097339.1355,1632.64
25097339.1638,1602.83
25097339.1797,1638.63
25097339.2006,1714.18
25097339.222,1780.1
25097339.2379,1815.39
25097339.2563,1912.95
25097339.2688,1950.42
25097339.2805,1987.46
25097339.2905,2012.07
25097339.3017,2056.41
25097339.3116,2060.53
25097339.3223,2048.2
25097339.3342,2034.84
25097339.3452,2035.12
25097339.3886,1799.1
25097339.3993,1776.79
25097339.4122,1776.56
25097339.4263,1776.73
25097339.4354,1776.67
25097339.4529,1782.96
25097339.4844,1659.68
25097339.5092,1601.5
25097339.528,1578.2
25097339.5447,1563.93
25097339.5642,1533.86
25097339.5758,1556.55
25097339.5902,1558.02
25097339.6016,1561.04
25097339.6305,1495.34
25097339.6599,1487.73
25097339.6774,1518.0
25097339.6906,1557.24
25097339.711,1726.53
25097339.7284,1825.98
25097339.7521,1842.24
25097339.8053,1590.24
25097339.8309,1536.74
25097339.8489,1525.22
25097339.8653,1526.39
25097339.8836,1538.06
25097339.9076,1579.55
25097339.9268,1679.84
25097339.9466,1824.52
25097339.965,1920.7
25097339.9804,2010.29
25097339.9991,2155.23
25097340.0229,2003.57
25097340.0355,2031.26
25097340.0473,2087.87
25097340.0601,2177.77
25097340.076,2317.19
25097340.0915,2465.82
25097340.1073,2419.46
25097340.1254,2341.9
25097340.1361,2372.63
25097340.1474,2390.67
25097340.159,2370.03
25097340.1698,2376.97
25097340.1808,2392.13
25097340.1946,2366.64
25097340.208,2325.63
25097340.2202,2291.42
25097340.2321,2253.68
25097340.2452,2211.84
25097340.2589,2175.0
25097340.2715,2146.36
25097340.2859,2105.87
25097340.3043,2021.14
25097340.3219,1948.13
25097340.3375,2399.23
25097340.3486,1905.63
25097340.3601,1928.87
25097340.3735,2005.63
25097340.3876,2093.31
25097340.4017,2138.32
25097340.4135,2155.91
25097340.425,2174.81
25097340.4377,2226.29
25097340.4491,2249.94
25097340.4608,2282.71
25097340.4724,2316.57
25097340.4874,2375.95
25097340.5026,2339.92
25097340.5208,2266.66
25097340.5413,2227.32
25097340.5602,2160.81
25097340.5817,2059.64
25097340.6124,1934.6
25097340.6487,1779.35
25097340.6806,1695.64
25097340.7346,1543.88
25097340.7546,1547.5
25097340.7765,1577.23
25097340.7979,1636.07
25097340.8132,1693.68
25097340.8275,1748.89
25097340.8435,1848.87
25097340.8556,1891.31
25097340.8664,1927.35
25097340.8775,1948.01
25097340.8889,1978.71
25097340.9012,2012.36
25097340.9121,2028.54
25097340.9238,2057.22
25097340.9357,2110.36
25097340.9473,2167.79
25097340.9597,2228.03
25097340.9745,2264.3
25097340.9979,2165.49
25097341.0394,1985.76
25097341.0752,1897.11
25097341.13,1670.32
